# x	y	u	v	flags	mask
8.5352e+04	7.4507e+04	4.5228e+02	-4.4852e+02	0.0000e+00	0.0000e+00
8.6338e+04	7.4507e+04	3.3065e+02	1.4092e+02	0.0000e+00	0.0000e+00
8.7324e+04	7.4507e+04	2.3354e+02	3.6057e+02	0.0000e+00	0.0000e+00
8.8310e+04	7.4507e+04	-8.3915e+01	4.2440e+02	0.0000e+00	0.0000e+00
8.9296e+04	7.4507e+04	-1.1343e+03	3.1880e+02	0.0000e+00	0.0000e+00
9.0282e+04	7.4507e+04	7.0200e+00	4.7792e+02	0.0000e+00	0.0000e+00
9.1268e+04	7.4507e+04	6.1605e+01	3.2839e+02	0.0000e+00	0.0000e+00
9.2254e+04	7.4507e+04	9.0402e+01	-3.3097e+02	0.0000e+00	0.0000e+00
9.3239e+04	7.4507e+04	9.8212e+01	-1.1932e+02	0.0000e+00	0.0000e+00
9.4225e+04	7.4507e+04	3.3602e+02	-5.5819e+01	0.0000e+00	0.0000e+00
9.5211e+04	7.4507e+04	-4.4526e+00	4.6454e-01	0.0000e+00	0.0000e+00
9.6197e+04	7.4507e+04	2.3535e+02	9.0324e+01	0.0000e+00	0.0000e+00
9.7183e+04	7.4507e+04	2.3565e+02	1.4946e+02	0.0000e+00	0.0000e+00
9.8169e+04	7.4507e+04	1.5421e+02	6.7630e+01	0.0000e+00	0.0000e+00
9.9155e+04	7.4507e+04	-1.8033e+02	-3.5325e+01	0.0000e+00	0.0000e+00
1.0014e+05	7.4507e+04	-2.3618e+02	-5.9311e+01	0.0000e+00	0.0000e+00
1.0113e+05	7.4507e+04	-2.4386e+02	-6.9681e+01	0.0000e+00	0.0000e+00
1.0211e+05	7.4507e+04	-1.7910e+02	-2.4509e+01	0.0000e+00	0.0000e+00
1.0310e+05	7.4507e+04	-9.6738e+01	-3.3384e+01	0.0000e+00	0.0000e+00
1.0408e+05	7.4507e+04	-2.8016e+01	-6.3254e+01	0.0000e+00	0.0000e+00
1.0507e+05	7.4507e+04	-1.3020e+02	-3.3242e+01	0.0000e+00	0.0000e+00
1.0606e+05	7.4507e+04	-3.5338e+01	7.7549e+01	0.0000e+00	0.0000e+00
1.0704e+05	7.4507e+04	7.5370e+02	-1.5039e+02	0.0000e+00	0.0000e+00
1.0803e+05	7.4507e+04	7.7078e+02	-1.9029e+02	0.0000e+00	0.0000e+00
1.0901e+05	7.4507e+04	2.1995e+02	-5.0957e+01	0.0000e+00	0.0000e+00
